quesition,answer,quewstion_korean,number
Can you show me how to submit a tech help ticket?,Let me show send you the link.,기술 지원 티켓을 어떻게 제출하는지 알려 주실 수 있나요?,3회-15
Was your new laptop expensive?,I had a discount coupon.,당신의 새 노트북 컴퓨터는 비쌌나요?,3회-25
"The workshop for this afternoon was postponed, wasn't it?",I haven't checked my e-mail.,"오늘 오후 워크숍은 연기됐죠, 그렇죠?",3회-27
When is the harvest festival taking place?,It's a week from tomorrw.,추수 감사제는 언제 열리나요?,3회-24
When's the meeting scheduled to start?,Right after lunch.,회의는 언제 시작될 예정인가요?,3회-9
Why don't we go on our camping trip next weekend?,I have a performance scheduled with my band.,다음 주 주말에 캠핑 여행을 가는 게 어때요?,3회-26
"Do you want to take a walk now, or would later be better?",I'm free to walk now.,"지금 산책하고 싶으세요, 아니면 나중이 더 나을까요?",3회-17
Isn't the roadwork in front of city hall finished yet?,"No, they still have another month to go.",시청 앞 도로 공사가 아직 안끝났어요?,3회-21
Where is the power button on this device?,I've never used that model before.,이 기기의 전원 버튼은 어디 있죠?,3회-16
How were our production figures last month?,We were closed down for a week.,우리 지난달 생산량은 어땠어요?,3회-28
Where should we put the new printer?,In the corner by the staris.,새 프린터를 어디에 둬야 하나요?,3회-12
"You went to the dentist this morning, didn't you?","Yes, for an annual checkup.","오늘 오전에 치과에 갔죠, 그렇죠?",3회-11
There was a sale at the furniture store.,Did you buy anything?,가구점에서 할인을 했어요.,3회-14
Is the heating system working?,I just called maintenance.,난방 장치가 작동되나요?,3회-20
When can I see the speech therapist?,How about tomorrow afternoon?,언어 치료사를 언제 만날 수 있어요?,3회-29
Don't you want to buy the black sofa?,We already have one.,검은색 소파를 사고 싶지 않나요?,4회-17
Where did these oranges come from?,From a supplier in California.,이 오렌지는 어디에서 왔죠?,4회-8
Does the company pay for professinal-development courses?,We do have a significant budget surplus.,그 회사는 직무 능력 개발 강좌 비용을 지불하나요?,4회-31
Will Dr. Ivanova be late today?,"No, you shouldn't have to wailt long.",이바노바 박사님은 오늘 늦으시나요?,4회-10
"You're taking a business class in the afternoon, aren't you?","Actually, it's in the morning.","오후에 비즈니스 수업 들으시죠, 그렇지 않나요?",4회-15
Why did you pursue a career in video game design?,Because I have a talent for it.,왜 비디오 게임 디자인 일을 계속하셨나요?,4회-22
Should I make the dinner reservation for Friday or Saturday?,Saturday is better.,"저녁 식사 예약을 금요일로 할까요, 토요일로 할까요?",4회-9
When can I bring these boxes into the warehouse?,We'll need to clear some space.,언제 이 상자들을 창고로 가져갈 수 있을까요?,4회-29
Could I see some sample floral arrangements before I order?,"Certainly, I have some right here.",주문하기 전에 꽃꽂이 견본을 좀 볼 수 있을까요?,4회-16
Do you have this jacket in a larger size?,"Oh, I'm not a sales associate.",이 재킷 더 큰 사이즈로 있나요?,4회-18
Aren't there locker rooms at this gym?,"Yes, they're on the lower floor.",이 체육관에 탈의실이 있지 않아요?,4회-11
How are the database updates coming along?,I've been really busy with the Williams account.,데이터베이스 업데이트는 어떻게 되어 가고 있나요?,4회-28
When are they going to decide who to hire?,A lot of good reumes have come in.,그들은 누구를 고용할지 언제 결정할까요?,4회-26
Should I bring anything to the meeting?,Do we have enough handouts?,회의에 가져가야 할 것이 있나요?,4회-20
Does the shop open on Sundays?,"Yes, at one o'clock.",그 가게는 일요일에 문을 여나요?,4회-7
