quesition,answer,quewstion_korean,number
"The battery for the water pump is going to be solar powered, right?",We're still in the planning stages.,"양수기 배터리는 태양열로 작동되겠죠, 그렇죠?",2회-22
Why don't we provide more samples of the wallpaper patterns?,There are plenty in the binders.,벽지 무늬 견본을 더 제공하면 어때요?,2회-29
Aren't you going to schedule an eye doctor appointment?,I alerady scheduled one.,안과 예약 일정을 잡으실 것 아닌가요?,2회-10
When's the new department director supposed to start?,Ms. Pavlova isn't retiring for several weeks.,신임 부서장은 언제 일을 시작하기로 되어 있나요?,2회-25
I'm going to try to fix this printer.,Are you sure it can be repaired?,이 프린터를 수리해 보려고 해요.,2회-11
Have you tried our famous pasta dish?,"Yes, it was delicious.",저희 유명한 파스타 요리를 드셔 보셨나요?,2회-15
"You're going to water the plants before you leave, aren't you?","Yes, right after lunch.","가기 전에 식물에 물을 주실거죠, 그렇죠?",2회-9
Why don't we stop by the office cafeteria on our way to the workshop?,"Sure, we have time for that.",워크숍 가는 길에 사내 카페에 잠깐 들르면 어때요?,2회-14
"Should I deliver these pizzas, or will you?",They're being picked up.,"제가 이 피자들을 배달해야 하나요, 아니면 당신이 하시겠어요?",2회-26
Do I need to reserve a meeting room?,"Yes, let me show you how.",회의실을 예약해야 할까요?,2회-24
"I tried updating the Web site, but it didn't work.",Just send me the changes you want.,"웹사이트를 업데이트해 봤는데, 안 됐어요.",2회-18
Did you hire a new welding specialist?,"Yes, he starts tomorrw.","네, 내일부터 일을 시작해요.",2회-19
Where can I buy a charger for this laptop?,I can order one for you.,이 노트북 충전기는 어디서 살 수 있나요?,2회-23
What should we do with these brochures?,I'll leave them at the front desk.,이 안내 책자들을 어떻게 할까요?,2회-12
Can you give me a tour of the property this afternonn?,"Sorry, I won't have time until tommorw.",오늘 오후에 그 건물을 견학시켜 주실 수 있나요?,2회-30
Who's the opening act at tonigt's concert?,A jazz singer from France.,오늘 밤 음악회의 개막 공연은 누가 하죠?,2회-16
Who's scheduled to test the product today?,We're wating for confirmation.,오늘 제품 테스트는 누가 할 예정인가요?,2회-31
Have the machines on the factory floor been cleaned?,"No, not yet.",작업 현장의 기계들은 청소가 되어 있나요?,2회-7
When do the product demonstartions start?,The schedule was e-mailed last Friday.,제품 시연은 언제 시작하나요?,2회-17
This month's shipment schedule has been revised.,Which dates have been changed?,이번 달 수송 일정이 변경됐어요.,2회-27
Is the safety inspection scheduled for this month or next month?,It's this Wednesday.,"안전 점검은 이번 달로 예정되어 있나요, 아니면 다음 달인가요?",3회-23
When will the catering company arrive?,At four o'clock.,케이터링 업체가 언제 도착할까요?,3회-8
How much will the repairs cost?,Around 200 dollars.,수리하는 데 비용이 얼마나 들까요?,3회-10
How was your morning client meeting?,The contract is now officially signed.,오전 고객 회의는 어땠어요?,3회-31
What type of plant do you have in your office?,One that doesn't require much water.,사무실에 어떤 종류의 식물이 있나요?,3회-13
I ordered some new equipment for the factory.,Great. I can't wait to use it.,공장에서 쓸 새 장비를 주문했어요.,3회-18
There's a nice place to rent on Mercer Street.,I just renewed my current lease.,머서 가에 임대하기에 좋은 곳이 있어요.,3회-19
Aren't you picking up the clients from the airport?,"No, I believe Tomoko is doing that.",당신이 공항에서 고객들을 모셔올 예정 아닌가요?,3회-30
Who will lead the new-employee training today?,We're using a recorded video.,오늘 신입 사원 교육은 누가 진행해요?,3회-22
Why is there no flour on the shelf?,Because it's out of stock.,왜 선반에 밀가루가 없죠?,3회-7
