quesition,answer,quewstion_korean,number
How do I turn on the air conditioner in this office?,The temperature is controlled automatically.,사무실 에어컨을 어떻게 켜죠?,8회-26
Who do I present my proposal to?,The acquisitions committee.,제 제안서를 누구에게 보여주죠?,8회-12
Who's picking up the newspaper?,Camile said she will.,누가 신문을 가져올 건가요?,8회-7
What do you think I should take to the conference?,Just your laptop.,제가 회의에 뭘 가져가야 할 것 같아요?,8회-10
Where's the festival being held?,In the town center.,축제는 어디서 열릴 예정이죠?,8회-11
When is your doctor's appointment?,This afternoon.,진료 예약이 언제죠?,8회-8
Have you trained Hikaru to use the new microscope?,I misplaced the instruction manual.,히카루에게 새 현미경 사용법을 교육하셨나요?,8회-27
How often do you have to install updates?,Waseem is the software administrator.,업데이트를 얼마나 자주 설치해야 해요?,8회-22
When's the dishwasher being repaired?,The technicaian came this morning.,식기세척기는 언제 수리되나요?,8회-15
Are you able to make a prototype soon?,"Yes, my team is working on it.",시제품을 곧 만드실 수 있나요?,8회-20
Would you like to take this vehicle for a test drive?,I heard a new model is coming out in March.,이 차를 시승해 보시겠어요?,8회-31
"You changed the color printer cartridge recently, didn't you?","Right, just a few days ago.","최근에 컬러 프린터 카트리지를 바꾸셨죠, 그렇죠?",8회-17
Let's talk about your project after lunch.,I'm leaving work early today.,점심 식사 후 당신의 프로젝트에 관해 얘기해 봅시다.,8회-23
Would it be cheaper to ship by express mail or overnight delivery?,Express mail is less expensive.,"속달 우편으로 운송하는 게 더 싸요, 아니면 익일 배송이 더 싸요?",8회-25
Why don't we have a company picnic?,Because it costs a lot of money.,우리는 회사 야유회를 왜 안가죠?,8회-9
Could you please look up the location on your phone?,"OK, one moment.",핸드폰으로 그 장소를 찾아봐 주실 수 있나요?,8회-13
Should we move the employee lounge to the basement?,"No, it's too dark down there.",직원 라운지를 지하로 옮겨야 하나요?,8회-16
Isn't the accounting seminar tomorrow?,"Actually, it's on Friday.",회계 세미나는 내일 아닌가요?,8회-14
Where can I buy a lamp like that?,I got this one as a gift.,그런 램프를 어디서 살 수 있어요?,8회-21
Did deal to lease the equipment go through?,"Not yet, but we hope to have it finalized this quarter.",장비 대여 거래가 성사됐나요?,8회-30
How can we train all the new team members?,People like watching videos.,신입 팀원들을 전부 어떻게 교육하죠?,9회-25
What was the highlight of your visit to the city this weekend?,Definitely the art museum!,이번 주말에 그 도시를 방문해서 무엇이 가장 좋았어요?,9회-13
Why do we have to put on safety goggles?,Because of safety regulations.,보호 안경을 왜 써야 하나요?,9회-9
Isn't this the last train out?,"No, there's one more.",이 열차가 막차 아닌가요?,9회-12
Do you want me to fix the printer in your office?,"Yes, that would be helpful.",사무실에 있는 프린터를 고쳐드릴까요?,9회-22
When was that news story about the merger published?,A few weeks ago.,합병에 관한 그 뉴스가 언제 발표됐나요?,9회-14
Does the manager want us to pick up the supplies or have them delivered?,She'll be here soon.,"관리자는 우리가 물품을 가지러 가길 바라나요, 아니면 배송시키기를 바라나요?",9회-27
Should I pick up the food order for Ms. Santos?,"Yes, if you have the time.",산토스 씨를 대신해서 제가 주문한 음식을 가지러 가야 하나요?,9회-19
When can we use the new color printer?,This afternoon.,새 컬러 프린터는 언제 사용할 수 있죠?,9회-17
Where is the fashion seminar?,It's in room 235.,패션 세미나는 어디서 있죠?,9회-8
