quesition,answer,quewstion_korean,number
"My appointment is with Dr. Hamdy today, right?","Yes, and she'll see you in a minute.","저 오늘 햄디 선생님 예약이죠, 맞죠?",7회-15
Who's providing the floral arrangements for the party?,The florist on Main Street.,파티 꽃 장식은 누가 제공하나요?,7회-7
How much oil does your heater use in the winter?,We only use electric applianes.,당신의 히터는 겨울철에 기름을 얼마나 쓰죠?,7회-25
I don't know if the packaging materials were ordered already.,I saw some boxes on the loading dock.,포장 재료가 이미 주문됐는지 잘 모르겠네요.,7회-22
When will we mention our budgetary needs to the outreach coordinator?,We're fully funded through the end of the year.,우리 예산 요구를 봉사 활동 조정자에게 언제 언급할까요?,7회-14
How do I set up this projector?,There's a manual in the drawer.,이 프로젝터는 어떻게 설치하나요?,7회-10
How long will the online course take?,You can finish it in a few hours.,온라인 강좌는 얼마나 걸릴까요?,7회-19
Didn't we renew our newspaper subscription last month?,"Yes, it was renewed for another six months.",우리 지난달에 신문 구독을 갱신하지 않았어요?,7회-13
When will you be done testing the new mobile app?,I'm almost finished.,새 모바일 앱 시험은 언제 완료하실건가요?,7회-28
Will you be available to work on Thursday or Friday?,There's mandatory training on Friday.,"목요일에 일할 시간이 되세요, 아니면 금요일에 되세요?",7회-31
What floor are you going to?,The twenty-fifth.,몇 층으로 가세요?,7회-9
Could you please send me the sales report?,Of course. I'll do it now.,영업 보고서를 저에게 보내주실 수 있나요?,7회-23
When will the tickets for the performance be ready to pick up?,We should get them by the end of the week.,공연 입장권은 언제 수령할 수 있을까요?,7회-21
Who has already received their promotion letter?,I did yesterday.,누가 승진 통지서를 이미 받았나요?,7회-11
What type of view will your apartment have?,I haven't signed a lease yet.,당신의 아파트는 조망이 어떤가요?,7회-24
Should I take the train or the bus to the airport?,The bus stop is five kilometers away.,"공항까지 기차를 타야 할까요, 아니면 버스를 타야 할까요?",7회-18
Will this month's company gathering be held in Benson Park?,It's still cold outside most days.,이번 달 회사 모임은 벤슨 공원에서 열릴 예정인가요?,7회-20
Don't forget to turn off the projecter after your presentation.,Shoud I return it to the supply closet?,발표 후 잊지 말고 프로젝트를 끄세요.,7회-29
Did you read the press release?,I haven't checked my e-mail all day.,보도 자료를 보셨나요?,7회-12
Where can I find the vitamins?,In aisle six.,비타민은 어디 있어요?,7회-26
Thank you for helping me create a survey.,The software did most of the work.,설문 제작을 도와주셔서 감사합니다.,7회-27
Would you be able to reschedule my haircut for Monday?,"No, we're fully booked that day.",제 헤어컷 일정을 월요일로 변경해 주실 수 있나요?,7회-17
Where should I store this shipment of paper?,"Well, the supply room is full.",이 종이 배송품은 어디에 보관해야 할까요?,7회-16
Why didn't you finish the budget report?,I was meeting with a client.,왜 예산 보고서를 끝내지 못했나요?,7회-8
Didn't there use to be a parking garage on this street?,"Yes, but it's been torn down.",이 거리에 주차장이 있지 않았나요?,7회-30
How long will we have to wait for a taxi to arrive?,Would you prefer to walk?,얼마나 오래 택시가 도착하기를 기다려야 할까요?,8회-29
Is there a list of guests who have been invited?,The caterer has all the necessary information.,초대된 손님 명단이 있나요?,8회-24
Is it easiest for me to take a bus to the city center?,I usually do.,도심으로 버스를 타고 가는 것이 가장 편한가요?,8회-19
We're not going to be able to fit everyone in this space.,There's a larger room down the hallway.,이 공간에 모두를 들어가게 할 수는 없을 거예요.,8회-18
We're meeting this week to discuss the upcoming merger.,I have it on my calendar.,다가올 합병에 대해 논의하러 이번 주에 만납니다.,8회-28
