quesition,answer,quewstion_korean,number
Are you taking a vacation once this project is over?,Yes. I'm planning a trip to Barcelona.,이 프로젝트가 끝나면 휴가를 가실 건가요?,5회-16
I'll be out of the office this afternoon.,OK. I'll update your schedule.,저는 오늘 오후에 사무실에 없을 거예요.,5회-15
How do I find the office manager?,The recceptionist would know.,어떻게 하면 사무실 관리자를 만날 수 있을까요?,5회-12
Can you look at this month's revenue report?,I have some free time tomorrow afternoon.,이번 달 수익 보고서를 봐 주실 수 있나요?,5회-26
When should I tell the director that I'm interested in the management position?,I'm not on the hiring team.,제가 관리직에 관심이 있다는 걸 책임자에게 언제 말해야 할까요?,5회-24
When did you post the job opening?,It's been on the Web site for a month.,언체 채용 공고를 게시했어요?,6회-19
Why don't we take a walk after lunch?,The sales report is due at one o'clock.,점심 식사 후에 산책하는 게 어때요?,6회-30
Who's going to take home the left over cake?,Marcel said he would.,남은 케이크는 누가 집으로 가져갈 건가요?,6회-7
Are you traveling in business class or economy?,My flight was just canceled.,"비즈니스 클래스를 타세요, 아니면 이코노미 클래스를 타세요?",6회-21
Who's joining us for the waterfront boat ride?,Everybody on our team is coming.,해안가 보트 타러 가는 데 누가 함께하실 건가요?,6회-10
When does the cleaning staff leave for the day?,"By six o'clock, usually.",청소 직원들은 언제 퇴근합니까?,6회-27
The number of subscribers for our magazine has decreased recently.,There's room in the budget for more adverising.,최근 우리 잡지 구독자 수가 감소했어요.,6회-22
Should we meet to discuss our research project?,Put something on my calendar.,연구 프로젝트에 대해 논의하기 위해 만나야 하나요?,6회-26
I decided to move the seasonal merchandise to the front of the store.,Did you put some of it in the window display?,계절 상품을 매장 앞쪽으로 옮기기로 결정했어요.,6회-31
Are you applying for the manager position?,Yes... I hope I get it.,관리직 직에 지원하시나요?,6회-20
Where's the company party being held?,At the Chesterville Hotel.,회사 파티는 어디서 열리나요?,6회-14
How many copies of the propsal should I make?,Fifty should be enough for everyone.,제안서를 몇 부 복사해야 할까요?,6회-12
Could you request a technician to repair the packaging machine?,"Sure, I'll do that.",포장 기계를 수리할 기술자를 요청해 주실 수 있나요?,6회-11
How do you clean the solar panels without damaging them?,I pay a company to do all the maintenace.,태양 전지판을 손상시키지 않고 어떻게 청소하죠?,6회-23
What's the best way to cantact you?,On my mobile phone.,어떻게 연락 드리는 것이 가장 좋을까요?,6회-9
How would you like to pay for these shoes today?,With a store gift card.,오늘 이 신발은 어떻게 계산하실 건가요?,6회-28
Why is Jonathan leaving early?,To catch the six o'clock train.,조나단은 왜 일찍 가요?,6회-13
When can we meet about the invoices?,I'm free after two.,청구서 건으로 언제 만날 수 있을까요?,6회-17
Does this pasta come with a side salad?,"No, I'm afraid not.",이 파스타는 곁들임 샐러드가 같이 나오나요?,6회-16
Did you want to sigh up for a one-year magazine subscription?,How much will it cost?,잡지 1년 구독 신청을 원하셨죠?,6회-15
Don't we sell Ramirez lawn mowers?,I work in the home decor area.,우리 라미레즈 잔디깎이 팔지 않나요?,6회-25
Can you tell me where the security office is?,Today's my first day here.,경비실이 어디 있는지 알려 주실 수 있나요?,6회-8
When will I receive my certificate in the mail?,I'll have to check with the office.,증명서를 언제 우편으로 받게 될까요?,6회-24
Would you like me to help you open a savings account?,That'd be great.,예금 계좌 개설하는 것을 도와드릴까요?,6회-18
"It's an effective advertisement, isn't it?",I've heard that sales have increased.,"효과적인 광고예요, 그렇지 않나요?",6회-29
