quesition,answer,quewstion_korean,number
Can I take another bottle of water?,If there are any left.,물을 한 병 더 가져가도 되나요?,9회-11
Will the company's warehouse be bulit in the city or farther out?,It'll be in the city.,"회사 물류창고는 도시에 지어질 건가요, 아니면 더 멀리 떨어져서 지어질 건가요?",9회-23
Has Jacob come into the office today?,His briefcase is on his desk.,제이콥은 오늘 사무실에 왔나요?,9회-28
Are you joining the team for today's briefing?,My top client is in town.,오늘 브리핑 때 팀에 합류하시나요?,9회-29
I'm organizing a healthy eating program at the office.,Do you need any help with it?,저는 사무실에서 건강한 식사 프로그램을 준비하고 있어요.,9회-30
Who's covering for Ms. Hamada?,Her assistant.,하마다 씨를 누가 대신하나요?,9회-7
Could you order some more paper plates?,We have enough for three months.,종이 접시를 좀 더 주문해 주실 수 있나요?,9회-18
"The party is supposed to start at six p.m., right?","No, the invitiation said seven.","파티가 오후 6시에 시작하기로 되어 있죠, 그렇죠?",9회-26
We need to install a security system at the office.,"Yes, I think that's good idea.",우리 사무실에 보안 시스템을 설치해야 해요.,9회-15
The taxi has finally arrived.,"Oh, did it get stuck in traffic?",드디어 택시가 도착했어요.,9회-24
How often do you go to concerts?,I don't have a lot of free time.,음악회는 얼마나 자주 가세요?,9회-21
Is your car expensive to repair?,It's been running perfectly since I bought it.,당신의 차는 수리 비용이 비싼가요?,9회-31
What did you do for Mr. Sugiyama's retirement party?,I helped decorate the room.,수기야마 씨의 은퇴 기념 파티를 위해 뭘 하셨어요?,9회-10
Where are the job fairs being held?,There's a list in the folder.,취업 박람회는 어디서 열리나요?,9회-16
Why don't you distribute this flyer around the office?,Sure. that's a great idea.,이 전단을 사무실 근처에서 나눠주지 그래요?,9회-20
How did you improve the processing speed?,That's a question for Siiilvia.,처리 속도를 어떻게 향상시키셨나요?,10회-13
The project proposal still needs work.,I can help you with it.,프로젝트 제안서는 아직 작업이 필요해요.,10회-11
Do you take your coffee with or without milk?,I prefer drinking tea.,"커피에 우유를 넣으시겠어요, 넣지 않으시겠어요?",10회-20
When will next month's cost projections be ready?,I sent an e-mail a few minutes ago.,다음 달 비용 추산은 언제 준비되나요?,10회-22
Which version of the contract do you have?,The final one.,계약서 어떤 버전을 갖고 계세요?,10회-24
How long will it take us to get to the theater?,Tickets for the performance are sold-out.,우리가 극장까지 가는 데 얼마나 걸릴까요?,10회-29
"The new marketing director will be hired soon, won't she?",Didn't you check your e-mail?,"곧 신임 마케팅 이사를 채용하죠, 그렇죠?",10회-16
Are you going to send a report or give a presentation to our clients?,I'll probably do both.,"고객에게 보고서를 보내실 건가요, 아니면 발표를 하실 건가요?",10회-30
Would you ask Tae-Joon to help set up the product display?,"No, I can do it myself.",태준에게 제품 진열을 도와 달라고 요청하시겠어요?,10회-23
When will the new coffee machine be installed in the lobby?,Within the next few days.,새 커피 머신은 언제 로비에 설치될 예정이죠?,10회-15
Is your flight tomorrow or this afternoon?,It's this afternoon.,"당신이 탈 항공편은 내일인가요, 아니면 오늘 오후인가요?",10회-8
When will you deliver the furniture I ordered?,By Tuesday at the latest.,제가 주문한 가구를 언제 배달해 주실 건가요?,10회-7
When should we hang up the posters for our conference?,The design still needs to be finalized.,언제 학회 포스터를 내걸어야 해요?,10회-31
Are the blueberries ready to harvest?,It's not summertime yet.,블루베리를 수확할 때가 됐나요? ,10회-28
Who can I talk to about scheduling a haircut?,Will you be available tomorrow afternoon?,헤어컷 시간을 잡는 건 누구에게 얘기하면 되나요?,10회-18
